"symbol"
ABC
VFC
VIAB
RSG
EXPD
COG
GWW
O
ANSS
IFF
V
JEC
NWL
FBHS
CCI
TRV
HPE
HP
AVGO
PFE
EFX
ROP
VRTX
MON
AMP
AMZN
VRSN
SNI
HES
AAP
BAC
DTE
NUE
LEG
EA
MSI
JWN
HRB
PCAR
BBY
MHK
AET
SHW
SNPS
AON
TXN
DXC
ZION
XEC
KSS
ES
PBCT
BA
PSX
ANTM
TWX
HAL
SCG
FTI
BF.B
PHM
MPC
L
PRU
UNH
MMM
FOXA
ARNC
AKAM
DG
CRM
PKG
HOLX
CVS
MAC
PRGO
AES
M
ALGN
PNR
PLD
GRMN
DUK
AGN
CTSH
UPS
MMC
SWKS
D
IDXX
XLNX
RMD
INFO
FTV
CELG
ZTS
ARE
BMY
HUM
AMAT
TROW
HON
EMN
NEE
FLIR
HIG
ABT
EVHC
PG
ALL
DHI
SPG
SLG
BWA
QRVO
AMGN
USB
WRK
LKQ
STT
MLM
SBAC
RTN
ESRX
AFL
GLW
HRL
GOOGL
KLAC
MNST
DISCK
TAP
CBG
AJG
ADM
PPL
LRCX
NFLX
MKC
HII
WFC
BLK
KO
HCP
HST
GIS
WYNN
CMS
NI
CPB
PPG
MAT
ROK
ADI
XL
LMT
CHD
BXP
WMT
STX
DWDP
AXP
PXD
RF
SYMC
ABBV
MSFT
TEL
DISCA
RL
MAS
AMG
CSX
PSA
GOOG
VNO
IRM
WMB
XRAY
ACN
BHF
HLT
VTR
DLTR
CMCSA
FDX
CHTR
AYI
SEE
NWS
MDLZ
DHR
NOC
RE
KMX
SYY
EXR
INTU
HPQ
ILMN
KEY
CBOE
GPN
AME
UNP
WDC
LNT
JPM
HBI
SIG
MTD
GT
ETN
VLO
ORCL
SYK
IR
SWK
CF
SRCL
WHR
AWK
CINF
ECL
CTL
LH
JNJ
TMK
HOG
EQT
MET
CA
URI
MAR
UHS
VZ
DRI
AMD
NKE
WAT
NOV
NFX
WBA
XEL
PNW
VMC
STI
K
KMI
INTC
ROST
APH
DISH
ALXN
A
NAVI
HAS
FMC
FISV
ISRG
DVA
UNM
SBUX
IVZ
KR
TDG
MYL
MAA
BHGE
UDR
LEN
AIG
REG
CMA
IQV
OKE
IPG
BSX
RJF
CHK
LNC
FITB
ITW
WY
PCLN
EW
STZ
PFG
CSCO
ALLE
RHT
KMB
EIX
PWR
HSY
ADSK
VAR
HD
NDAQ
MCHP
MU
RCL
CAG
ADBE
QCOM
OMC
SYF
UAL
COTY
CAT
DVN
FCX
NVDA
WM
NBL
GS
IP
GGP
AIV
SNA
CB
FE
APC
RHI
PEG
FAST
DAL
ZBH
CHRW
WLTW
APD
FB
VRSK
ALB
OXY
CAH
BBT
PX
COL
ETR
TJX
CBS
TXT
AAPL
SRE
AOS
PVH
ADP
EOG
AEE
KORS
JCI
SO
MO
FLR
FOX
TMO
JBHT
CLX
EXPE
PKI
LB
MCO
FLS
IT
HCA
EBAY
EQIX
NEM
WEC
DLR
NWSA
MCD
TGT
DPS
CNP
ED
SCHW
UAA
PYPL
MRK
TSN
MOS
TIF
ETFC
ORLY
CTAS
XRX
CL
HCN
GE
CI
NTAP
MGM
TPR
FFIV
CSRA
KHC
BK
EL
JNPR
ATVI
LYB
DE
BRK.B
PAYX
DGX
PGR
AEP
AMT
APA
KIM
ADS
C
GILD
CVX
COP
XOM
WYN
LLL
UA
PEP
FRT
COO
SLB
HSIC
T
NSC
CXO
BIIB
MA
EQR
TSCO
EMR
AZO
DOV
GPS
PM
IBM
ICE
CMI
CCL
AVY
NCLH
CERN
LUV
CNC
ULTA
EXC
KSU
FL
GM
ALK
DRE
APTV
COF
MRO
COST
AIZ
YUM
HRS
ESS
UTX
LLY
INCY
BDX
BLL
WU
BAX
CME
FIS
CMG
SJM
ANDV
AVB
TRIP
GPC
CFG
CDNS
CTXS
RRC
XYL
REGN
MCK
SPGI
DFS
MS
AAL
LOW
PH
NRG
F
MTB
HBAN
BEN
PCG
MDT
LUK
NLSN
PDCO
GD
NTRS
DIS
TSS
PNC
